School Year,County,Grade,Vaccine Series,Number of Schools,Total Enrollment Count,Total Vaccinated Count,Percentage Vaccinated,Religious- Flu Only Exemption Count,Religious Exemption Count,Percentage Religious Exemption,Medical Exemption Count,Percentage Medical Exemption,Percentage Compliant,Percentage Non-Compliant
2021-2022,New London,7th,HepA,38,2663,2595,97.4,,42,1.6,9,0.3,99.4,0.6
2021-2022,New London,7th,MCV,38,2663,2373,89.1,,42,1.6,9,0.3,91.0,9.0
2021-2022,New London,7th,Tdap,38,2663,2384,89.5,,42,1.6,9,0.3,91.4,8.6
2021-2022,New London,7th,All,38,2663,2348,88.2,,42,1.6,9,0.3,90.1,9.9
2021-2022,State,Pre-K,Flu,409,20465,18306,89.5,196,267,2.3,73,0.4,92.1,7.9
2021-2022,State,K,Polio,642,35451,34045,96.0,,727,2.1,102,0.3,98.4,1.6
2021-2022,State,K,DTaP,642,35451,34038,96.0,,727,2.1,102,0.3,98.4,1.6
2021-2022,State,K,MMR,642,35451,33913,95.7,,727,2.1,102,0.3,98.0,2.0
2021-2022,State,K,HepB,642,35451,34199,96.5,,727,2.1,102,0.3,98.8,1.2
2021-2022,State,K,Varicella,642,35451,33858,95.5,,727,2.1,102,0.3,97.8,2.2
2021-2022,State,K,HepA,642,35451,33973,95.8,,727,2.1,102,0.3,98.2,1.8
2021-2022,State,K,All,642,35451,33344,94.1,,727,2.1,102,0.3,96.4,3.6
2021-2022,State,7th,Polio,429,38276,37229,97.3,,727,1.9,112,0.3,99.5,0.5
2021-2022,State,7th,DTaP,429,38276,37063,96.8,,727,1.9,112,0.3,99.0,1.0
2021-2022,State,7th,MMR,429,38276,37275,97.4,,727,1.9,112,0.3,99.6,0.4
2021-2022,State,7th,HepB,429,38276,37249,97.3,,727,1.9,112,0.3,99.5,0.5
2021-2022,State,7th,Varicella,429,38276,37212,97.2,,727,1.9,112,0.3,99.4,0.6
2021-2022,State,7th,HepA,429,38276,37116,97.0,,727,1.9,112,0.3,99.2,0.8
2021-2022,State,7th,MCV,429,38276,35556,92.9,,727,1.9,112,0.3,95.1,4.9
2021-2022,State,7th,Tdap,429,38276,35681,93.2,,727,1.9,112,0.3,95.4,4.6
2021-2022,State,7th,All,429,38276,35137,91.8,,727,1.9,112,0.3,94.0,6.0
2021-2022,Tolland,Pre-K,Flu,15,598,572,95.7,5,8,2.2,2,0.3,98.2,1.8
2021-2022,Tolland,K,Polio,19,1174,1125,95.8,,22,1.9,11,0.9,98.6,1.4
2021-2022,Tolland,K,DTaP,19,1174,1126,95.9,,22,1.9,11,0.9,98.7,1.3
2021-2022,Tolland,K,MMR,19,1174,1124,95.7,,22,1.9,11,0.9,98.6,1.4
2021-2022,Tolland,K,HepB,19,1174,1135,96.7,,22,1.9,11,0.9,99.5,0.5
2021-2022,Tolland,K,Varicella,19,1174,1127,96.0,,22,1.9,11,0.9,98.8,1.2
2021-2022,Tolland,K,HepA,19,1174,1128,96.1,,22,1.9,11,0.9,98.9,1.1
2021-2022,Tolland,K,All,19,1174,1108,94.4,,22,1.9,11,0.9,97.2,2.8
2021-2022,Tolland,7th,Polio,11,1404,1355,96.5,,43,3.1,5,0.4,99.9,0.1
2021-2022,Tolland,7th,DTaP,11,1404,1355,96.5,,43,3.1,5,0.4,99.9,0.1
2021-2022,Tolland,7th,MMR,11,1404,1356,96.6,,43,3.1,5,0.4,100.0,0.0
2021-2022,Tolland,7th,HepB,11,1404,1353,96.4,,43,3.1,5,0.4,99.8,0.2
2021-2022,Tolland,7th,Varicella,11,1404,1355,96.5,,43,3.1,5,0.4,99.9,0.1
2021-2022,Tolland,7th,HepA,11,1404,1354,96.4,,43,3.1,5,0.4,99.9,0.1
2021-2022,Tolland,7th,MCV,11,1404,1343,95.7,,43,3.1,5,0.4,99.1,0.9
2021-2022,Tolland,7th,Tdap,11,1404,1344,95.7,,43,3.1,5,0.4,99.1,0.9
2021-2022,Tolland,7th,All,11,1404,1339,95.4,,43,3.1,5,0.4,98.8,1.2
2021-2022,Windham,Pre-K,Flu,19,850,736,86.6,7,19,3.1,9,1.1,90.7,9.3
2021-2022,Windham,K,Polio,25,1214,1128,92.9,,52,4.3,4,0.3,97.5,2.5
